RxPackets;RxTime;RxId;TxId;TxTime;xPos;yPos
132;2482;4;cam data : 5;2478;31;25
133;2482;6;cam data : 5;2478;31;25
134;2482;7;cam data : 5;2478;31;25
135;2482;8;cam data : 5;2478;31;25
136;2497;-1;cam data : 8;2493;86;96
137;2497;0;cam data : 8;2493;86;96
138;2497;1;cam data : 8;2493;86;96
139;2497;2;cam data : 8;2493;86;96
140;2497;3;cam data : 8;2493;86;96
141;2497;4;cam data : 8;2493;86;96
142;2497;5;cam data : 8;2493;86;96
143;2497;6;cam data : 8;2493;86;96
144;2497;7;cam data : 8;2493;86;96
145;2513;-1;cam data : 2;2509;5;26
146;2513;0;cam data : 2;2509;5;26
147;2513;1;cam data : 2;2509;5;26
148;2513;3;cam data : 2;2509;5;26
149;2513;4;cam data : 2;2509;5;26
150;2513;5;cam data : 2;2509;5;26
151;2513;6;cam data : 2;2509;5;26
152;2513;7;cam data : 2;2509;5;26
153;2513;8;cam data : 2;2509;5;26
154;2534;-1;cam data : 4;2530;59;25
155;2534;0;cam data : 4;2530;59;25
156;2534;1;cam data : 4;2530;59;25
157;2534;2;cam data : 4;2530;59;25
158;2534;3;cam data : 4;2530;59;25
159;2534;5;cam data : 4;2530;59;25
160;2534;6;cam data : 4;2530;59;25
161;2534;7;cam data : 4;2530;59;25
162;2534;8;cam data : 4;2530;59;25
163;2558;-1;cam data : 1;2554;71;52
164;2558;0;cam data : 1;2554;71;52
165;2558;2;cam data : 1;2554;71;52
166;2558;3;cam data : 1;2554;71;52
167;2558;4;cam data : 1;2554;71;52
168;2558;5;cam data : 1;2554;71;52
169;2558;6;cam data : 1;2554;71;52
170;2558;7;cam data : 1;2554;71;52
171;2558;8;cam data : 1;2554;71;52
172;2582;-1;cam data : 5;2578;31;25
173;2582;0;cam data : 5;2578;31;25
174;2582;1;cam data : 5;2578;31;25
175;2582;2;cam data : 5;2578;31;25
176;2582;3;cam data : 5;2578;31;25
177;2582;4;cam data : 5;2578;31;25
178;2582;6;cam data : 5;2578;31;25
179;2582;7;cam data : 5;2578;31;25
180;2582;8;cam data : 5;2578;31;25
181;2597;-1;cam data : 8;2593;86;96
182;2597;0;cam data : 8;2593;86;96
183;2597;1;cam data : 8;2593;86;96
184;2597;2;cam data : 8;2593;86;96
185;2597;3;cam data : 8;2593;86;96
186;2597;4;cam data : 8;2593;86;96
187;2597;5;cam data : 8;2593;86;96
188;2597;6;cam data : 8;2593;86;96
189;2597;7;cam data : 8;2593;86;96
190;2613;-1;cam data : 2;2609;5;26
191;2613;0;cam data : 2;2609;5;26
192;2613;1;cam data : 2;2609;5;26
193;2613;3;cam data : 2;2609;5;26
194;2613;4;cam data : 2;2609;5;26
195;2613;5;cam data : 2;2609;5;26
196;2613;6;cam data : 2;2609;5;26
197;2613;7;cam data : 2;2609;5;26
198;2613;8;cam data : 2;2609;5;26
199;2634;-1;cam data : 4;2630;59;25
200;2634;0;cam data : 4;2630;59;25
201;2634;1;cam data : 4;2630;59;25
202;2634;2;cam data : 4;2630;59;25
203;2634;3;cam data : 4;2630;59;25
204;2634;5;cam data : 4;2630;59;25
205;2634;6;cam data : 4;2630;59;25
206;2634;7;cam data : 4;2630;59;25
207;2634;8;cam data : 4;2630;59;25
208;2658;-1;cam data : 1;2654;71;52
209;2658;0;cam data : 1;2654;71;52
210;2658;2;cam data : 1;2654;71;52
211;2658;3;cam data : 1;2654;71;52
212;2658;4;cam data : 1;2654;71;52
213;2658;5;cam data : 1;2654;71;52
214;2658;6;cam data : 1;2654;71;52
215;2658;7;cam data : 1;2654;71;52
216;2658;8;cam data : 1;2654;71;52
217;2682;-1;cam data : 5;2678;31;25
218;2682;0;cam data : 5;2678;31;25
219;2682;1;cam data : 5;2678;31;25
220;2682;2;cam data : 5;2678;31;25
221;2682;3;cam data : 5;2678;31;25
222;2682;4;cam data : 5;2678;31;25
223;2682;6;cam data : 5;2678;31;25
224;2682;7;cam data : 5;2678;31;25
225;2682;8;cam data : 5;2678;31;25
226;2697;-1;cam data : 8;2693;86;96
227;2697;0;cam data : 8;2693;86;96
228;2697;1;cam data : 8;2693;86;96
229;2697;2;cam data : 8;2693;86;96
230;2697;3;cam data : 8;2693;86;96
231;2697;4;cam data : 8;2693;86;96
232;2697;5;cam data : 8;2693;86;96
233;2697;6;cam data : 8;2693;86;96
234;2697;7;cam data : 8;2693;86;96
235;2713;-1;cam data : 2;2709;5;26
236;2713;0;cam data : 2;2709;5;26
237;2713;1;cam data : 2;2709;5;26
238;2713;3;cam data : 2;2709;5;26
239;2713;4;cam data : 2;2709;5;26
240;2713;5;cam data : 2;2709;5;26
241;2713;6;cam data : 2;2709;5;26
242;2713;7;cam data : 2;2709;5;26
243;2713;8;cam data : 2;2709;5;26
244;2734;-1;cam data : 4;2730;59;25
245;2734;0;cam data : 4;2730;59;25
246;2734;1;cam data : 4;2730;59;25
247;2734;2;cam data : 4;2730;59;25
248;2734;3;cam data : 4;2730;59;25
249;2734;5;cam data : 4;2730;59;25
250;2734;6;cam data : 4;2730;59;25
251;2734;7;cam data : 4;2730;59;25
252;2734;8;cam data : 4;2730;59;25
253;2758;-1;cam data : 1;2754;71;52
254;2758;0;cam data : 1;2754;71;52
255;2758;2;cam data : 1;2754;71;52
256;2758;3;cam data : 1;2754;71;52
257;2758;4;cam data : 1;2754;71;52
258;2758;5;cam data : 1;2754;71;52
259;2758;6;cam data : 1;2754;71;52
260;2758;7;cam data : 1;2754;71;52
261;2758;8;cam data : 1;2754;71;52
262;2767;-1;cam data : 3;2763;17;55
263;2767;0;cam data : 3;2763;17;55
264;2767;1;cam data : 3;2763;17;55
265;2767;2;cam data : 3;2763;17;55
266;2767;4;cam data : 3;2763;17;55
267;2767;5;cam data : 3;2763;17;55
268;2767;6;cam data : 3;2763;17;55
269;2767;7;cam data : 3;2763;17;55
