TxPackets;TxTime;TxId;xPos;yPos
2160;4795;0;65;54
2169;4795;7;42;76
2178;4805;8;86;96
2187;4809;6;78;15
2196;4833;5;31;25
2205;4836;3;17;55
2214;4841;2;5;26
2223;4847;4;59;25
2232;4852;-1;66;72
2241;4875;1;71;52
2250;4895;0;65;54
2259;4895;7;42;76
2268;4905;8;86;96
2277;4909;6;78;15
2286;4933;5;31;25
2295;4936;3;17;55
2304;4938;6;78;15
2313;4939;0;65;54
2322;4941;2;5;26
2331;4943;3;17;55
2340;4947;4;59;25
2349;4952;-1;66;72
2358;4975;1;71;52
2367;4995;7;42;76
2376;4998;1;71;52
2385;5005;8;86;96
2394;5019;4;59;25
2403;5033;5;31;25
2412;5038;6;78;15
2421;5039;0;65;54
2430;5041;2;5;26
2439;5043;3;17;55
2448;5052;-1;66;72
2457;5095;7;42;76
2466;5098;1;71;52
2475;5105;8;86;96
2484;5119;4;59;25
2493;5130;5;31;25
2502;5138;6;78;15
2511;5139;0;65;54
2520;5141;2;5;26
2529;5143;3;17;55
2538;5152;-1;66;72
2547;5195;7;42;76
2556;5198;1;71;52
2565;5205;8;86;96
2574;5211;8;86;96
2583;5219;4;59;25
2592;5230;5;31;25
2601;5238;6;78;15
2610;5239;0;65;54
2619;5241;2;5;26
2628;5243;3;17;55
2637;5252;-1;66;72
2646;5279;7;42;76
2655;5298;1;71;52
2664;5311;8;86;96
2673;5319;4;59;25
2682;5330;5;31;25
2691;5338;6;78;15
2700;5339;0;65;54
2709;5341;2;5;26
2718;5343;3;17;55
2727;5352;-1;66;72
2736;5379;7;42;76
2745;5398;1;71;52
2754;5411;8;86;96
2763;5419;4;59;25
2772;5430;5;31;25
2781;5438;6;78;15
2790;5439;0;65;54
2799;5441;2;5;26
2808;5443;3;17;55
2817;5452;-1;66;72
2826;5461;0;65;54
2835;5479;7;42;76
2844;5498;1;71;52
2853;5511;8;86;96
2862;5519;4;59;25
2871;5530;5;31;25
2880;5538;6;78;15
2889;5541;2;5;26
2898;5543;3;17;55
2907;5552;-1;66;72
2916;5561;0;65;54
2925;5579;7;42;76
2934;5598;1;71;52
2943;5611;8;86;96
2952;5619;4;59;25
2961;5630;5;31;25
2970;5638;6;78;15
2979;5641;2;5;26
2988;5643;3;17;55
2997;5652;-1;66;72
3006;5661;0;65;54
3015;5679;7;42;76
3024;5697;2;5;26
3033;5698;1;71;52
3042;5711;8;86;96
3051;5719;4;59;25
3060;5730;5;31;25
3069;5738;6;78;15
3078;5743;3;17;55
3087;5747;5;31;25
3096;5752;-1;66;72
3105;5761;0;65;54
3114;5769;1;71;52
3123;5779;7;42;76
3132;5797;2;5;26
3141;5811;8;86;96
3150;5819;4;59;25
3159;5828;4;59;25
3168;5838;6;78;15
3177;5843;3;17;55
3186;5847;5;31;25
3195;5852;-1;66;72
3204;5861;0;65;54
3213;5869;1;71;52
3222;5879;7;42;76
3231;5897;2;5;26
3240;5911;8;86;96
3249;5928;4;59;25
3258;5938;6;78;15
3267;5943;3;17;55
3276;5947;5;31;25
3285;5952;-1;66;72
3294;5961;0;65;54
3303;5969;1;71;52
3312;5972;6;78;15
3321;5979;7;42;76
3330;5997;2;5;26
3339;6003;7;42;76
3348;6011;8;86;96
3357;6028;4;59;25
3366;6043;3;17;55
